Car Name,Car Price,City,Model Year,Used KM,Fuel Type,CC,Type of Vehicle
KIA Sportage  2021 AWD for Sale,PKR 71lacs,Rawalpindi,2021,"47,000 km",Petrol,2000 cc,Automatic
Toyota Raize  2019 Z for Sale,PKR 59.75lacs,Islamabad,2019,"34,975 km",Petrol,1000 cc,Automatic
Toyota Belta  2009 X 1.0 for Sale,PKR 24.75lacs,Karachi,2009,"83,876 km",Petrol,1000 cc,Automatic
Mitsubishi Ek Wagon  2016 G for Sale,PKR 21.5lacs,Lahore,2016,"80,000 km",Petrol,660 cc,Automatic
Toyota Prado  2020 TX L Package 2.7 for Sale,PKR 3.1crore,Karachi,2020,"23,000 km",Petrol,2700 cc,Automatic
Toyota Prius  2007 S 10TH Anniversary Edition 1.5 for Sale,PKR 25lacs,Lahore,2007,"132,522 km",Hybrid,1500 cc,Automatic
Suzuki Swift  2015 DLX 1.3 for Sale,PKR 32lacs,Islamabad,2015,"6,345 km",Petrol,1300 cc,Manual
KIA Sportage  2022 FWD for Sale,PKR 74lacs,Rawalpindi,2022,"36,468 km",Petrol,2000 cc,Automatic
KIA Sportage  2020 AWD for Sale,PKR 66lacs,Rawalpindi,2020,"71,000 km",Petrol,2000 cc,Automatic
Hyundai Sonata  2023 2.5 for Sale,PKR 1.03crore,Islamabad,2023,"33,000 km",Petrol,2500 cc,Automatic
Mitsubishi Mirage  2013 1.0 G for Sale,PKR 22.85lacs,Lahore,2013,"98,000 km",Petrol,1000 cc,Automatic
Toyota Fortuner  2022 Legender  for Sale,PKR 1.74crore,Lahore,2022,"23,000 km",Diesel,2800 cc,Automatic
Suzuki Mehran  2017 VXR Euro II for Sale,PKR 13.75lacs,Lahore,2017,"50,000 km",Petrol,796 cc,Manual
Toyota Fortuner  2019 2.7 VVTi for Sale,PKR 1.3crore,Lahore,2019,"68,616 km",Petrol,2700 cc,Automatic
Hyundai Elantra  2023 GLS for Sale,PKR 62.5lacs,Faisalabad,2023,"35,000 km",Petrol,2000 cc,Automatic
Suzuki Mehran  1998 VX (CNG) for Sale,PKR 4.5lacs,Bannu,1998,"1,123 km",Petrol,800 cc,Manual
Daihatsu Mira  2022 L for Sale,PKR 33.2lacs,Karachi,2022,"12,800 km",Petrol,660 cc,Automatic
Honda Life  2013 Diva Smart Special for Sale,PKR 15.25lacs,Karachi,2013,"98,000 km",Petrol,660 cc,Automatic
Hyundai Elantra  2023 GLS for Sale,PKR 64.75lacs,Faisalabad,2023,"47,000 km",Petrol,2000 cc,Automatic
Toyota Vitz  2012  for Sale,PKR 29.9lacs,Lahore,2012,"87,000 km",Petrol,1000 cc,Automatic
Suzuki Alto  2008 VXR for Sale,PKR 7.4lacs,Karachi,2008,"1,000 km",Petrol,1000 cc,Manual
Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 39.7lacs,Islamabad,2015,"104,300 km",Petrol,1800 cc,Automatic
Suzuki Swift  2025 GLX CVT for Sale,PKR 52lacs,Islamabad,2025,120 km,Petrol,1200 cc,Automatic
Toyota Passo  2021  for Sale,PKR 42.5lacs,Islamabad,2021,"80,000 km",Petrol,1000 cc,Automatic
Honda City 5th (GM2) Generation 2014 Aspire 1.5 i-VTEC for Sale,PKR 30.5lacs,Islamabad,2014,"149,999 km",Petrol,1500 cc,Manual
Honda City 6th Generation 2024 1.2L CVT for Sale,PKR 49.5lacs,Karachi,2024,"6,941 km",Petrol,1200 cc,Automatic
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel UG Prosmatec 1.6 for Sale,PKR 16.5lacs,Lahore,2005,"99,000 km",Petrol,1600 cc,Automatic
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.53crore,Peshawar,2021,"60,000 km",Diesel,2800 cc,Automatic
Toyota Prado  2019 TX L Package 2.8 D for Sale,PKR 2.9crore,Peshawar,2019,"65,000 km",Diesel,2800 cc,Automatic
Changan Oshan X7  2023 Comfort for Sale,PKR 78lacs,Karachi,2023,"31,392 km",Petrol,1500 cc,Automatic
Toyota Land Cruiser  2012 ZX for Sale,PKR 2.3crore,Islamabad,2012,"150,000 km",Petrol,4600 cc,Automatic
KIA Sportage  2021 AWD for Sale,PKR 77lacs,Lahore,2021,"23,607 km",Petrol,2000 cc,Automatic
Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 37.5lacs,Faisalabad,2015,"172,741 km",Petrol,1800 cc,Automatic
Suzuki Wagon R  2022 Hybrid FX for Sale,PKR 37.9lacs,Lahore,2022,"75,498 km",Hybrid,660 cc,Automatic
Hyundai Tucson  2022 AWD A/T Ultimate for Sale,PKR 76.5lacs,Karachi,2022,"29,000 km",Petrol,2000 cc,Automatic
Daihatsu Copen  2017 Robe for Sale,PKR 30lacs,Islamabad,2017,"40,000 km",Petrol,660 cc,Manual
Hyundai Santro  2006 Club for Sale,PKR 9.75lacs,Faisalabad,2006,"255,999 km",Petrol,1000 cc,Manual
Toyota Fortuner  2022 Legender  for Sale,PKR 1.74crore,Lahore,2022,"23,000 km",Diesel,2800 cc,Automatic
BMW 3 Series  2013 316i for Sale,PKR 95lacs,Lahore,2013,"107,000 km",Petrol,1600 cc,Automatic
Toyota Roomy  2020 XS for Sale,PKR 43lacs,Rawalpindi,2020,"42,000 km",Petrol,1000 cc,Automatic
Toyota Pixis Joy  2021 F G SA III for Sale,PKR 32.85lacs,Sialkot,2021,"57,000 km",Petrol,660 cc,Automatic
Haval H6  2025 PHEV for Sale,PKR 1.39crore,Jhelum,2025,15 km,Hybrid,1500 cc,Automatic
Suzuki Wagon R  2022 AGS for Sale,PKR 30lacs,Peshawar,2022,"130,000 km",Petrol,1000 cc,Automatic
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 46.65lacs,Sahiwal,2017,"142,000 km",Petrol,1800 cc,Automatic
